HCPCS_Cd,mean,count,denial_rate_pct
J9201,0.9938775510204082,490,99.38775510204081
J0696,0.9944888089078844,8891,99.44888089078844
J2795,0.9953488372093023,215,99.53488372093024
J1756,0.9955686853766618,677,99.55686853766618
J0461,0.9962121212121212,264,99.62121212121212
J0185,0.9963680387409201,826,99.63680387409201
J1626,0.9964381121994658,1123,99.64381121994657
J1100,0.9968764708399298,23371,99.68764708399299
Q0138,0.9969293756397134,977,99.69293756397134
J2405,0.9969733656174334,1652,99.69733656174334
J3480,0.9970149253731343,335,99.70149253731343
J2704,0.9974554707379135,393,99.74554707379136
J1453,0.9977324263038548,1323,99.77324263038548
J2469,0.9980857580398163,2612,99.80857580398163
J9267,1.0,917,100.0
J9263,1.0,523,100.0
Q5110,1.0,228,100.0
J0878,1.0,193,100.0
J9025,1.0,198,100.0
J7613,1.0,840,100.0
