model,training_seconds,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_f1_macro
TF-IDF Logistic Regression,1.69,0.9833333333333333,0.9838949275362319,0.9833333333333333,0.983362150485041,0.9804095068926901
DistilBERT,80.84,0.8866666666666667,0.9015542188063534,0.8866666666666667,0.8836768244286903,0.8720036624541496
