,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
Rndrng_NPI,9781673.0,1499356075.793889,287701716.93143046,1003000126.0,1245946748.0,1497940993.0,1740789361.0,1992999874.0,0,0.0
Rndrng_Prvdr_RUCA,9776382.0,1.548343589683791,3.3477010063622363,1.0,1.0,1.0,1.0,99.0,5291,0.05
Tot_Benes,9781673.0,84.98742658847827,1312.17200739025,11.0,17.0,32.0,72.0,896762.0,0,0.0
Tot_Srvcs,9781673.0,281.8192520849961,6307.907760987311,4.4,21.0,43.0,119.0,6486401.0,0,0.0
Tot_Bene_Day_Srvcs,9781673.0,137.25789228488827,2181.4466839196275,11.0,20.0,41.0,106.0,1835261.0,0,0.0
Avg_Sbmtd_Chrg,9781673.0,430.76211592692493,1521.5852954904635,3.50877e-05,73.28125,180.0,367.0,99999.99,0,0.0
Avg_Mdcr_Alowd_Amt,9781673.0,106.36796809166174,332.9876711180941,0.0,25.485378788,71.551079545,121.1388,53965.433571,0,0.0
Avg_Mdcr_Pymt_Amt,9781673.0,83.00478002349114,265.616170728898,0.0,19.65,52.456515152,90.912222222,42994.894524,0,0.0
Avg_Mdcr_Stdzd_Amt,9781673.0,82.4946387454579,267.15865305089915,0.0,19.471133201,52.655,90.776290323,42994.894524,0,0.0
