column,iqr_outliers,iqr_pct,zscore_outliers,zscore_pct,p99_outliers,modz_outliers,modz_pct
Tot_Benes,1003580,10.2598,7089,0.0725,97526,1319693,13.4915
Tot_Srvcs,1191926,12.1853,16054,0.1641,97798,1652324,16.892
Tot_Bene_Day_Srvcs,1123894,11.4898,6512,0.0666,97724,1534931,15.6919
Avg_Sbmtd_Chrg,993651,10.1583,76445,0.7815,97773,962383,9.8386
Avg_Mdcr_Alowd_Amt,463423,4.7377,63845,0.6527,97817,334798,3.4227
Avg_Mdcr_Pymt_Amt,494756,5.058,63574,0.6499,97817,409892,4.1904
Avg_Mdcr_Stdzd_Amt,486044,4.9689,63223,0.6463,97817,397727,4.066
Rndrng_Prvdr_RUCA,1408788,14.4101,9505,0.0972,92523,1408788,14.4101
